ticker,company_name,report_period_end,publish_date,report_type,accounting_standard,language,source_name,source_page,source_url,local_path,download_status,content_type,detected_extension,file_sha256,bytes,link_text,score,error
SBER,ПАО Сбербанк,2025-12-31,,annual_report,,,issuer_ir_auto,https://www.sberbank.com/index,https://www.sberbank.com/investor-relations/corporate-governance/annual-meeting-2026,,failed,,,,0,RUB37.64 per shareThe amount of dividends recommended by the Supervisory Board following the results of 2025,8,not a report document: detected_ext=.html
MGNT,ПАО Магнит,2025-12-31,,report,,,issuer_ir_auto,https://www.magnit.com/ru/disclosure/regulatory-news/,https://storage.zds.zebra-group.ru/data/3/1/a300a6961b7ebded7b09bb88924c7014.pdf,MGNT\MGNT_20251231_unknown_report_0a13e11d99.pdf,downloaded:200,application/pdf,.pdf,0a13e11d991c0646d39037ec9cd570375c5f94175f4fb119818c6f0c202c8c0a,21194,"u0432\u043b\u0430\u0434\u0435\u043b\u044c\u0446\u0430\u043c \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433 \u044d\u043c\u0438\u0442\u0435\u043d\u0442\u0430"",""link"":""/ru/disclosure/regulatory-news/00c259e3d350355a414d239e72f8b69b/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/efcc9d709307e4e1dbb158e2fb8f4820.pdf""},{""date"":1768227610,""name"":""\u0412\u044b\u043f\u043b\u0430\u0447\u0435\u043d\u043d\u044b\u0435 \u0434\u043e\u0445\u043e\u0434\u044b \u0438\u043b\u0438 \u0438\u043d\u044b\u0435 \u0432\u044b\u043f\u043b\u0430\u0442\u044b, \u043f\u0440\u0438\u0447\u0438\u0442\u0430\u044e\u0449\u0438\u0435\u0441\u044f \u0432\u043b\u0430\u0434\u0435\u043b\u044c\u0446\u0430\u043c \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433 \u044d\u043c\u0438\u0442\u0435\u043d\u0442\u0430"",""link"":""/ru/disclosure/regulatory-news/fa48b372aae825610dbbdc243596a742/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/a300a6961b7ebded7b09bb88924c7014.pdf""}],""2025"":[{""date"":1767094200,""name"":""\u0412\u044b\u043f\u043b\u0430\u0447\u0435\u043d\u043d\u044b\u0435 \u0434\u043e\u0445\u043e\u0434\u044b \u0438\u043b\u0438 \u0438\u043d\u044b\u0435 \u0432\u044b\u043f\u043b\u0430\u0442\u044b, \u043f\u0440\u0438\u0447\u0438\u0442\u0430\u044e\u0449\u0438\u0435\u0",9,
MGNT,ПАО Магнит,2025-12-31,,report,,,issuer_ir_auto,https://www.magnit.com/ru/disclosure/regulatory-news/,https://storage.zds.zebra-group.ru/data/3/1/cbbfc6c8eb74bca90f8247bed6124027.pdf,MGNT\MGNT_20251231_unknown_report_aab9e3bc14.pdf,downloaded:200,application/pdf,.pdf,aab9e3bc143bc1ac704c2616acc0f2e0f2ce997c0ac0d4ef9098b229d565c7b9,21209,"3b\u0430\u0434\u0435\u043b\u044c\u0446\u0430\u043c \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433 \u044d\u043c\u0438\u0442\u0435\u043d\u0442\u0430"",""link"":""/ru/disclosure/regulatory-news/fa48b372aae825610dbbdc243596a742/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/a300a6961b7ebded7b09bb88924c7014.pdf""}],""2025"":[{""date"":1767094200,""name"":""\u0412\u044b\u043f\u043b\u0430\u0447\u0435\u043d\u043d\u044b\u0435 \u0434\u043e\u0445\u043e\u0434\u044b \u0438\u043b\u0438 \u0438\u043d\u044b\u0435 \u0432\u044b\u043f\u043b\u0430\u0442\u044b, \u043f\u0440\u0438\u0447\u0438\u0442\u0430\u044e\u0449\u0438\u0435\u0441\u044f \u0432\u043b\u0430\u0434\u0435\u043b\u044c\u0446\u0430\u043c \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433 \u044d\u043c\u0438\u0442\u0435\u043d\u0442\u0430"",""link"":""/ru/disclosure/regulatory-news/f5b19731d1f8ce42f8276e7b8dbf3e7a/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/cbbfc6c8eb74bca90f8247bed6124027.pdf""},{""date"":1766666410,""name"":""\u0412\u044b\u043f\u043b\u0430\u0447\u0435\u043d\u043d\u044b\u0435 \u0434\u043e\u0445\u043e\u0434\u044b \u0438\u043b\u0438 \u0438\u043d\u044b\u0435 \u0432\u044b\u043f\u043b\u0430\u0442\u044b, \u043f\u0440\u0438\u0447\u0438\u0442\u0430\u044e\u0449\u0438\u0435\u0441\u044f",9,
MGNT,ПАО Магнит,,2025-02-05,report,,,issuer_ir_auto,https://www.magnit.com/ru/disclosure/regulatory-news/,https://storage.zds.zebra-group.ru/data/3/1/b9e902025b1694e0e7f2ccd5238eb984.pdf,MGNT\MGNT_unknown_2025-02-05_report_079527b4a0.pdf,downloaded:200,application/pdf,.pdf,079527b4a05d8dbd08978dc2add49e553831b45dfa25db0d2a307e52011a4f2d,20306,"ure/regulatory-news/28ae5120d7a97d637b775170c154e94e/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/2079d9fa29db58bc93a0f4003067f100.pdf""},{""date"":1738751400,""name"":""\u0412\u043a\u043b\u044e\u0447\u0435\u043d\u0438\u0435 \u044d\u043c\u0438\u0441\u0441\u0438\u043e\u043d\u043d\u044b\u0445 \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433 \u044d\u043c\u0438\u0442\u0435\u043d\u0442\u0430 \u0432 \u0441\u043f\u0438\u0441\u043e\u043a \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433, \u0434\u043e\u043f\u0443\u0449\u0435\u043d\u043d\u044b\u0445 \u043a \u0442\u043e\u0440\u0433\u0430\u043c \u0440\u043e\u0441\u0441\u0438\u0439\u0441\u043a\u0438\u043c \u043e\u0440\u0433\u0430\u043d\u0438\u0437\u0430\u0442\u043e\u0440\u043e\u043c \u0442\u043e\u0440\u0433\u043e\u0432\u043b\u0438"",""link"":""/ru/disclosure/regulatory-news/2d3367789231a05f69144164a47b9fa4/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/b9e902025b1694e0e7f2ccd5238eb984.pdf""},{""date"":1737741600,""name"":""\u0417\u0430\u0432\u0435\u0440\u0448\u0435\u043d\u0438\u0435 \u0440\u0430\u0437\u043c\u0435\u0449\u0435\u043d\u0438\u044f \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433"",""link"":""/ru/disclosure/regulatory-news/4684d50da0f31b58ecef0c0f99d28b88/"",""pdf""",9,
MGNT,ПАО Магнит,,2025-01-24,report,,,issuer_ir_auto,https://www.magnit.com/ru/disclosure/regulatory-news/,https://storage.zds.zebra-group.ru/data/3/1/eb5e1ad24ad2f65de8430c61533d1dd3.pdf,MGNT\MGNT_unknown_2025-01-24_report_465ccdb2fc.pdf,downloaded:200,application/pdf,.pdf,465ccdb2fc9588d613c40c022a6dc9435ccf7e51805f272c60ddde4869bcaec9,21101,"0442\u0435\u043d\u0442\u0430 \u0432 \u0441\u043f\u0438\u0441\u043e\u043a \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433, \u0434\u043e\u043f\u0443\u0449\u0435\u043d\u043d\u044b\u0445 \u043a \u0442\u043e\u0440\u0433\u0430\u043c \u0440\u043e\u0441\u0441\u0438\u0439\u0441\u043a\u0438\u043c \u043e\u0440\u0433\u0430\u043d\u0438\u0437\u0430\u0442\u043e\u0440\u043e\u043c \u0442\u043e\u0440\u0433\u043e\u0432\u043b\u0438"",""link"":""/ru/disclosure/regulatory-news/2d3367789231a05f69144164a47b9fa4/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/b9e902025b1694e0e7f2ccd5238eb984.pdf""},{""date"":1737741600,""name"":""\u0417\u0430\u0432\u0435\u0440\u0448\u0435\u043d\u0438\u0435 \u0440\u0430\u0437\u043c\u0435\u0449\u0435\u043d\u0438\u044f \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433"",""link"":""/ru/disclosure/regulatory-news/4684d50da0f31b58ecef0c0f99d28b88/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/eb5e1ad24ad2f65de8430c61533d1dd3.pdf""},{""date"":1737715800,""name"":""\u041f\u0440\u0438\u0441\u0432\u043e\u0435\u043d\u0438\u0435 \u0438\u043b\u0438 \u0438\u0437\u043c\u0435\u043d\u0435\u043d\u0438\u0435 \u0440\u0435\u0439\u0442\u0438\u043d\u0433\u0430 \u044d\u043c\u0438\u0441\u0441\u0438\u043e\u043d\u043d\u044b\u0445 \u0446\u0435\u043d\",9,
MGNT,ПАО Магнит,2024-12-31,2025-01-09,report,,,issuer_ir_auto,https://www.magnit.com/ru/disclosure/regulatory-news/,https://storage.zds.zebra-group.ru/data/3/1/933baa96ab7fc5ca3b4253ea6ed5e9ba.pdf,MGNT\MGNT_20241231_2025-01-09_report_f0c5339a85.pdf,downloaded:200,application/pdf,.pdf,f0c5339a850bc54fa8d9c7cef3a0ef3f3ce42df13d1d55c1b31462de555cab4f,21179,"u0432\u043b\u0430\u0434\u0435\u043b\u044c\u0446\u0430\u043c \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433 \u044d\u043c\u0438\u0442\u0435\u043d\u0442\u0430"",""link"":""/ru/disclosure/regulatory-news/4b7dedcf9876c6080427b2b6e846395f/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/92d58ab0dbea7ed7de8000ddc7372e9b.pdf""},{""date"":1736445600,""name"":""\u0412\u044b\u043f\u043b\u0430\u0447\u0435\u043d\u043d\u044b\u0435 \u0434\u043e\u0445\u043e\u0434\u044b \u0438\u043b\u0438 \u0438\u043d\u044b\u0435 \u0432\u044b\u043f\u043b\u0430\u0442\u044b, \u043f\u0440\u0438\u0447\u0438\u0442\u0430\u044e\u0449\u0438\u0435\u0441\u044f \u0432\u043b\u0430\u0434\u0435\u043b\u044c\u0446\u0430\u043c \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433 \u044d\u043c\u0438\u0442\u0435\u043d\u0442\u0430"",""link"":""/ru/disclosure/regulatory-news/5f463176d48e51406bc8c2907632c221/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/933baa96ab7fc5ca3b4253ea6ed5e9ba.pdf""}],""2024"":[{""date"":1735398000,""name"":""\u041e\u0431\u044a\u044f\u0432\u043b\u0435\u043d\u0438\u0435 \u043e\u0431\u0449\u0435\u0433\u043e \u0441\u043e\u0431\u0440\u0430\u043d\u0438\u044f \u0443\u0447\u0430\u0441\u0442\u043d\u0438\u043a\u043e\u0432 (\u0430\u043a\u0446\u0438\u043e\u043d\u0435\u0440\u04",9,
MGNT,ПАО Магнит,2024-12-31,2024-12-28,report,,,issuer_ir_auto,https://www.magnit.com/ru/disclosure/regulatory-news/,https://storage.zds.zebra-group.ru/data/3/1/7910b2b7a22030d0bb76ad364f006168.pdf,MGNT\MGNT_20241231_2024-12-28_report_1bfcb41968.pdf,downloaded:200,application/pdf,.pdf,1bfcb419683ab2b757c22658df47a5c2e2d2f6c8c8d9382d92dd9ff4ba686847,19646,"4b, \u043f\u0440\u0438\u0447\u0438\u0442\u0430\u044e\u0449\u0438\u0435\u0441\u044f \u0432\u043b\u0430\u0434\u0435\u043b\u044c\u0446\u0430\u043c \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433 \u044d\u043c\u0438\u0442\u0435\u043d\u0442\u0430"",""link"":""/ru/disclosure/regulatory-news/5f463176d48e51406bc8c2907632c221/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/933baa96ab7fc5ca3b4253ea6ed5e9ba.pdf""}],""2024"":[{""date"":1735398000,""name"":""\u041e\u0431\u044a\u044f\u0432\u043b\u0435\u043d\u0438\u0435 \u043e\u0431\u0449\u0435\u0433\u043e \u0441\u043e\u0431\u0440\u0430\u043d\u0438\u044f \u0443\u0447\u0430\u0441\u0442\u043d\u0438\u043a\u043e\u0432 (\u0430\u043a\u0446\u0438\u043e\u043d\u0435\u0440\u043e\u0432) \u043d\u0435\u0441\u043e\u0441\u0442\u043e\u044f\u0432\u0448\u0438\u043c\u0441\u044f"",""link"":""/ru/disclosure/regulatory-news/7b8831ec840a2f14a2c4bc89754557e2/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/7910b2b7a22030d0bb76ad364f006168.pdf""},{""date"":1734976800,""name"":""\u041f\u0440\u0438\u043e\u0431\u0440\u0435\u0442\u0435\u043d\u0438\u0435 \u043f\u043e\u0434\u043a\u043e\u043d\u0442\u0440\u043e\u043b\u044c\u043d\u043e\u0439 \u044d\u043c\u0438\u0442\u0435\u043d\u0442\u0443 \u043e\u0440\u0433\u0430\u043d\u0438\u0437\u0430\u0446\u0438\u0",9,
MGNT,ПАО Магнит,2023-12-31,2024-06-05,report,,,issuer_ir_auto,https://www.magnit.com/ru/disclosure/regulatory-news/,https://storage.zds.zebra-group.ru/data/3/1/44a752c0ff234c6010f9de99d14cb62f.pdf,MGNT\MGNT_20231231_2024-06-05_report_014125c88b.pdf,downloaded:200,application/pdf,.pdf,014125c88b9be3c5867df46bb63d40e0292786bf155f927e98c09488d70897f5,33234,"u043d\u0442\u0430"",""link"":""/ru/disclosure/regulatory-news/d7c7467eeafb3bfc2e8c63475cde0b5e/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/8486e81b71dbcd62703f24e587da8ca6.pdf""},{""date"":1705586400,""name"":""\u0421\u043e\u0431\u044b\u0442\u0438\u044f (\u0434\u0435\u0439\u0441\u0442\u0432\u0438\u044f), \u043e\u043a\u0430\u0437\u044b\u0432\u0430\u044e\u0449\u0438\u0435, \u043f\u043e \u043c\u043d\u0435\u043d\u0438\u044e \u044d\u043c\u0438\u0442\u0435\u043d\u0442\u0430, \u0441\u0443\u0449\u0435\u0441\u0442\u0432\u0435\u043d\u043d\u043e\u0435 \u0432\u043b\u0438\u044f\u043d\u0438\u0435 \u043d\u0430 \u0441\u0442\u043e\u0438\u043c\u043e\u0441\u0442\u044c \u0438\u043b\u0438 \u043a\u043e\u0442\u0438\u0440\u043e\u0432\u043a\u0438 \u0435\u0433\u043e \u0446\u0435\u043d\u043d\u044b\u0445 \u0431\u0443\u043c\u0430\u0433"",""link"":""/ru/disclosure/regulatory-news/6948280421456cbee8030bd3168832ed/"",""pdf"":""https://storage.zds.zebra-group.ru/data/3/1/44a752c0ff234c6010f9de99d14cb62f.pdf""}],""2023"":[{""date"":1703872800,""name"":""\u0420\u0435\u0448\u0435\u043d\u0438\u044f \u0441\u043e\u0432\u0435\u0442\u0430 \u0434\u0438\u0440\u0435\u043a\u0442\u043e\u0440\u043e\u0432 (\u043d\u0430\u0431\u043b\u044e\u0434\u0430\u0442\u0435\u043b\u044c\u043d\u043e\u0433\u043e \u0441\u043e\u0432\u0435\u04",9,
